,CustomerID,Amount,Frequency,Recency
0,12346.0,0.0,2,325
1,12347.0,4310.0,182,1
2,12348.0,1797.24,31,74
3,12349.0,1757.55,73,18
4,12350.0,334.4,17,309
5,12352.0,1545.41,95,35
6,12353.0,89.0,4,203
7,12354.0,1079.4,58,231
8,12355.0,459.4,13,213
9,12356.0,2811.43,59,22
10,12357.0,6207.67,131,32
11,12358.0,1168.06,19,1
12,12359.0,6245.53,254,7
13,12360.0,2662.06,129,51
14,12361.0,189.9,10,286
15,12362.0,5154.58,274,2
16,12363.0,552.0,23,109
17,12364.0,1313.1,85,7
18,12365.0,320.69,23,290
19,12367.0,168.9,11,3
20,12370.0,3545.69,167,50
21,12371.0,1887.96,63,44
22,12372.0,1298.04,52,71
23,12373.0,364.6,14,310
24,12374.0,742.9300000000001,33,24
25,12375.0,455.42,18,2
26,12377.0,1628.12,77,314
27,12378.0,4008.62,219,129
28,12379.0,850.29,41,81
29,12380.0,2720.56,105,21
30,12381.0,1803.96,91,4
31,12383.0,1839.31,100,184
32,12384.0,566.16,30,28
33,12386.0,401.9,10,337
34,12388.0,2780.66,100,15
35,12390.0,549.84,32,79
36,12391.0,460.89,100,21
37,12393.0,1582.6000000000001,64,71
38,12394.0,1272.48,27,63
39,12395.0,2998.28,159,15
40,12397.0,2409.9,126,35
41,12398.0,1635.6599999999999,85,45
42,12399.0,1108.65,59,118
43,12401.0,84.3,5,302
44,12402.0,225.6,11,322
45,12403.0,409.7,6,49
46,12405.0,1710.39,54,148
47,12406.0,3280.75,108,21
48,12407.0,1708.1200000000001,77,49
49,12408.0,2842.57,113,32
50,12409.0,11056.93,114,78
51,12410.0,681.0799999999999,28,300
52,12412.0,1226.88,61,74
53,12413.0,694.15,40,66
54,12414.0,562.41,18,216
55,12415.0,123725.45,778,23
56,12417.0,3578.8,198,2
57,12418.0,668.58,34,112
58,12420.0,600.39,29,63
59,12421.0,806.27,46,15
60,12422.0,803.5600000000001,39,95
61,12423.0,1849.11,126,0
62,12424.0,1760.96,30,162
63,12425.0,777.2,36,77
64,12426.0,582.73,30,194
65,12427.0,708.37,35,11
66,12428.0,7877.2,300,25
67,12429.0,3750.4,97,8
68,12430.0,256.4,11,42
69,12431.0,6416.39,240,35
70,12432.0,5059.32,108,42
71,12433.0,13375.87,420,0
72,12434.0,765.19,54,84
73,12435.0,7829.89,36,79
74,12436.0,509.01,16,99
75,12437.0,4896.66,201,1
76,12438.0,2906.85,98,13
77,12441.0,173.55,11,366
78,12442.0,172.06,12,2
79,12444.0,5005.46,177,20
80,12445.0,133.4,4,21
81,12446.0,1002.3100000000001,58,57
82,12447.0,476.49,26,242
83,12448.0,449.45,22,43
84,12449.0,4067.29,191,21
85,12450.0,197.88,8,155
86,12451.0,8933.52,355,10
87,12452.0,428.57,23,16
88,12453.0,707.09,43,133
89,12454.0,5.684341886080802e-14,30,52
90,12455.0,2466.86,90,72
91,12456.0,3153.89,129,43
92,12457.0,1917.78,68,57
93,12458.0,947.4,38,70
94,12461.0,826.88,35,93
95,12462.0,1124.01,72,1
96,12463.0,1303.63,88,45
97,12464.0,1212.05,29,9
98,12465.0,733.89,51,7
99,12468.0,724.0400000000001,40,142
100,12471.0,18740.92,531,1
101,12472.0,6229.48,391,30
102,12473.0,2848.23,179,28
103,12474.0,7116.47,457,16
104,12475.0,723.38,36,53
105,12476.0,6546.58,264,0
106,12477.0,13117.01,308,22
107,12478.0,680.99,36,3
108,12479.0,477.3,35,3
109,12480.0,3281.63,154,27
110,12481.0,5590.86,218,22
111,12483.0,2327.13,81,16
112,12484.0,4495.27,350,32
113,12488.0,1298.66,55,9
114,12489.0,334.93,15,335
115,12490.0,5417.93,245,4
116,12491.0,460.40000000000003,26,38
117,12492.0,263.21000000000004,20,62
118,12493.0,416.79,23,165
119,12494.0,1139.3500000000001,84,9
120,12497.0,1043.1,14,81
121,12498.0,403.70000000000005,23,20
122,12500.0,4206.27,65,22
123,12501.0,2089.68,160,314
124,12502.0,3723.87,147,95
125,12503.0,-1126.0,1,337
126,12504.0,114.0,15,17
127,12505.0,-4.5,1,300
128,12506.0,73.5,23,232
129,12507.0,1258.06,23,133
130,12508.0,398.27,69,25
131,12509.0,176.5,7,283
132,12510.0,982.5699999999999,33,142
133,12512.0,138.03,34,65
134,12513.0,586.79,36,84
135,12514.0,1017.68,51,266
136,12515.0,383.7,16,352
137,12516.0,1312.06,26,77
138,12517.0,2464.89,286,27
139,12518.0,2056.89,124,0
140,12519.0,340.84,18,63
141,12520.0,2582.51,155,78
142,12521.0,599.68,38,142
143,12522.0,192.72,12,38
144,12523.0,1745.57,110,1
145,12524.0,4485.72,144,8
146,12526.0,1316.66,71,0
147,12527.0,348.71000000000004,18,81
148,12528.0,1922.28,95,8
149,12530.0,1623.63,68,59
150,12531.0,125.22,17,14
151,12532.0,349.83000000000004,16,29
152,12534.0,1089.18,63,130
153,12535.0,716.35,34,91
154,12536.0,4106.82,273,7
155,12538.0,363.95,21,28
156,12539.0,3852.5,274,21
157,12540.0,13309.039999999999,481,19
158,12541.0,981.18,52,29
159,12544.0,355.7,20,29
160,12545.0,1000.39,50,74
161,12546.0,1141.5,70,46
162,12547.0,207.79999999999998,8,197
163,12548.0,95.19999999999999,5,165
164,12550.0,964.83,57,78
165,12551.0,168.0,10,357
166,12552.0,437.82,20,38
167,12553.0,3652.25,196,7
168,12556.0,603.71,121,49
169,12557.0,11990.960000000001,33,15
170,12558.0,1.0658141036401503e-14,22,1
171,12559.0,536.21,22,310
172,12560.0,2101.39,111,4
173,12561.0,238.85,16,302
174,12562.0,3781.7400000000002,168,7
175,12564.0,456.9,21,260
176,12565.0,131.17,10,281
177,12566.0,346.7,20,72
178,12567.0,9114.94,463,22
179,12569.0,4064.9900000000002,191,1
180,12571.0,519.61,34,39
181,12572.0,1004.72,62,8
182,12573.0,160.54000000000002,28,226
183,12574.0,218.45,11,315
184,12576.0,1306.98,89,35
185,12577.0,595.4,148,34
186,12578.0,2753.36,120,20
187,12579.0,410.72,31,72
188,12580.0,415.7,24,246
189,12581.0,197.71,15,39
190,12582.0,511.36,22,238
191,12583.0,7187.34,251,2
192,12584.0,1893.95,126,3
193,12585.0,1982.81,97,233
194,12586.0,179.94000000000003,12,16
195,12587.0,144.0,4,7
196,12588.0,214.89999999999998,10,38
197,12589.0,646.68,35,28
198,12590.0,9861.38,70,189
199,12591.0,452.84999999999997,26,316
200,12592.0,437.6,18,91
201,12593.0,418.09999999999997,21,108
202,12594.0,3320.2200000000003,119,37
203,12596.0,618.27,27,50
204,12597.0,3683.13,214,18
205,12598.0,3002.68,133,9
206,12599.0,1032.58,62,28
207,12600.0,2581.04,65,28
208,12601.0,569.5600000000001,29,189
209,12602.0,153.12,12,58
210,12603.0,739.1999999999999,3,21
211,12604.0,254.18,16,78
212,12605.0,-7.5,3,364
213,12607.0,3.552713678800501e-15,202,57
214,12609.0,1126.85,60,77
215,12610.0,2057.99,111,22
216,12611.0,1193.32,65,51
217,12612.0,643.59,21,57
218,12613.0,3218.98,163,30
219,12614.0,315.6,20,277
220,12615.0,2291.19,105,1
221,12616.0,657.25,36,84
222,12617.0,355.53,42,28
223,12618.0,177.31,11,21
224,12619.0,3214.81,95,15
225,12620.0,1339.41,92,14
226,12621.0,13612.07,474,1
