0,2,325
4310,182,1
1797.24,31,74
1757.55,73,18
334.4,17,309
1545.41,95,35
89,4,203
1079.4,58,231
459.4,13,213
2811.43,59,22
6207.67,131,32
1168.06,19,1
6245.53,254,7
2662.06,129,51
189.9,10,286
5154.58,274,2
552,23,109
1313.1,85,7
320.69,23,290
168.9,11,3
3545.69,167,50
1887.96,63,44
1298.04,52,71
364.6,14,310
742.93,33,24
455.42,18,2
1628.12,77,314
4008.62,219,129
850.29,41,81
2720.56,105,21
1803.96,91,4
1839.31,100,184
566.16,30,28
401.9,10,337
2780.66,100,15
549.84,32,79
460.89,100,21
1582.6,64,71
1272.48,27,63
2998.28,159,15
2409.9,126,35
1635.66,85,45
1108.65,59,118
84.3,5,302
225.6,11,322
409.7,6,49
1710.39,54,148
3280.75,108,21
1708.12,77,49
2842.57,113,32
11056.93,114,78
681.08,28,300
1226.88,61,74
694.15,40,66
562.41,18,216
123725.45,778,23
3578.8,198,2
668.58,34,112
600.39,29,63
806.27,46,15
803.56,39,95
1849.11,126,0
1760.96,30,162
777.2,36,77
582.73,30,194
708.37,35,11
7877.2,300,25
3750.4,97,8
256.4,11,42
6416.39,240,35
5059.32,108,42
13375.87,420,0
765.19,54,84
7829.89,36,79
509.01,16,99
4896.66,201,1
2906.85,98,13
173.55,11,366
172.06,12,2
5005.46,177,20
133.4,4,21
1002.31,58,57
476.49,26,242
449.45,22,43
4067.29,191,21
197.88,8,155
8933.52,355,10
428.57,23,16
707.09,43,133
5.68E-14,30,52
2466.86,90,72
3153.89,129,43
1917.78,68,57
947.4,38,70
826.88,35,93
1124.01,72,1
1303.63,88,45
1212.05,29,9
733.89,51,7
724.04,40,142
18740.92,531,1
6229.48,391,30
2848.23,179,28
7116.47,457,16
723.38,36,53
6546.58,264,0
13117.01,308,22
680.99,36,3
477.3,35,3
3281.63,154,27
5590.86,218,22
2327.13,81,16
4495.27,350,32
1298.66,55,9
334.93,15,335
5417.93,245,4
460.4,26,38
263.21,20,62
416.79,23,165
1139.35,84,9
1043.1,14,81
403.7,23,20
4206.27,65,22
2089.68,160,314
3723.87,147,95
-1126,1,337
114,15,17
-4.5,1,300
73.5,23,232
1258.06,23,133
398.27,69,25
176.5,7,283
982.57,33,142
138.03,34,65
586.79,36,84
1017.68,51,266
383.7,16,352
1312.06,26,77
2464.89,286,27
2056.89,124,0
340.84,18,63
2582.51,155,78
599.68,38,142
192.72,12,38
1745.57,110,1
4485.72,144,8
1316.66,71,0
348.71,18,81
1922.28,95,8
1623.63,68,59
125.22,17,14
349.83,16,29
1089.18,63,130
716.35,34,91
4106.82,273,7
363.95,21,28
3852.5,274,21
13309.04,481,19
981.18,52,29
355.7,20,29
1000.39,50,74
1141.5,70,46
207.8,8,197
95.2,5,165
964.83,57,78
168,10,357
437.82,20,38
3652.25,196,7
603.71,121,49
11990.96,33,15
1.07E-14,22,1
536.21,22,310
2101.39,111,4
238.85,16,302
3781.74,168,7
456.9,21,260
131.17,10,281
346.7,20,72
9114.94,463,22
4064.99,191,1
519.61,34,39
1004.72,62,8
160.54,28,226
218.45,11,315
1306.98,89,35
595.4,148,34
2753.36,120,20
410.72,31,72
415.7,24,246
197.71,15,39
511.36,22,238
7187.34,251,2
1893.95,126,3
1982.81,97,233
179.94,12,16
144,4,7
214.9,10,38
646.68,35,28
9861.38,70,189
452.85,26,316
437.6,18,91
418.1,21,108
3320.22,119,37
618.27,27,50
3683.13,214,18
3002.68,133,9
1032.58,62,28
2581.04,65,28
569.56,29,189
153.12,12,58
739.2,3,21
254.18,16,78
-7.5,3,364
3.55E-15,202,57
1126.85,60,77
2057.99,111,22
1193.32,65,51
643.59,21,57
3218.98,163,30
315.6,20,277
2291.19,105,1
657.25,36,84
355.53,42,28
177.31,11,21
3214.81,95,15
1339.41,92,14
13612.07,474,1
180.1,11,231
305.1,18,275
641.13,38,105
2614.32,91,211
6388.35,307,22
4478.53,230,10
